id,validation,pdfName,directory
1,Get,P79-1001.pdf,1_1979_ACL_Get
2,Get,P79-1002.pdf,2_1979_ACL_Get
3,Get,P79-1003.pdf,3_1979_ACL_Get
4,Get,P79-1004.pdf,4_1979_ACL_Get
5,Get,P79-1005.pdf,5_1979_ACL_Get
6,Get,P79-1006.pdf,6_1979_ACL_Get
7,Get,P79-1007.pdf,7_1979_ACL_Get
8,Get,P79-1008.pdf,8_1979_ACL_Get
9,Get,P79-1009.pdf,9_1979_ACL_Get
10,Get,P79-1010.pdf,10_1979_ACL_Get
11,Get,P79-1011.pdf,11_1979_ACL_Get
12,Get,P79-1012.pdf,12_1979_ACL_Get
13,Get,P79-1013.pdf,13_1979_ACL_Get
14,Get,P79-1014.pdf,14_1979_ACL_Get
15,Get,P79-1015.pdf,15_1979_ACL_Get
16,Get,P79-1016.pdf,16_1979_ACL_Get
17,Get,P79-1017.pdf,17_1979_ACL_Get
18,Get,P79-1018.pdf,18_1979_ACL_Get
19,Get,P79-1019.pdf,19_1979_ACL_Get
20,Get,P79-1020.pdf,20_1979_ACL_Get
21,Get,P79-1021.pdf,21_1979_ACL_Get
22,Get,P79-1022.pdf,22_1979_ACL_Get
23,Get,P79-1023.pdf,23_1979_ACL_Get
24,None,NaN,24_1979_ACL_None
25,Get,P79-1025.pdf,25_1979_ACL_Get
26,Get,P79-1026.pdf,26_1979_ACL_Get
27,Get,P79-1027.pdf,27_1979_ACL_Get
28,Get,P79-1028.pdf,28_1979_ACL_Get
29,Get,P80-1001.pdf,29_1980_ACL_Get
30,Get,P80-1002.pdf,30_1980_ACL_Get
31,Get,P80-1003.pdf,31_1980_ACL_Get
32,Get,P80-1004.pdf,32_1980_ACL_Get
33,Get,P80-1005.pdf,33_1980_ACL_Get
34,Get,P80-1006.pdf,34_1980_ACL_Get
35,Get,P80-1007.pdf,35_1980_ACL_Get
36,Get,P80-1008.pdf,36_1980_ACL_Get
37,Get,P80-1009.pdf,37_1980_ACL_Get
38,Get,P80-1010.pdf,38_1980_ACL_Get
39,Get,P80-1011.pdf,39_1980_ACL_Get
40,Get,P80-1012.pdf,40_1980_ACL_Get
41,Get,P80-1013.pdf,41_1980_ACL_Get
42,Get,P80-1014.pdf,42_1980_ACL_Get
43,Get,P80-1015.pdf,43_1980_ACL_Get
44,Get,P80-1016.pdf,44_1980_ACL_Get
45,Get,P80-1017.pdf,45_1980_ACL_Get
46,Get,P80-1018.pdf,46_1980_ACL_Get
47,Get,P80-1019.pdf,47_1980_ACL_Get
48,Get,P80-1020.pdf,48_1980_ACL_Get
49,Get,P80-1021.pdf,49_1980_ACL_Get
50,Get,P80-1022.pdf,50_1980_ACL_Get
51,Get,P80-1023.pdf,51_1980_ACL_Get
52,Get,P80-1024.pdf,52_1980_ACL_Get
53,Get,P80-1025.pdf,53_1980_ACL_Get
54,Get,P80-1026.pdf,54_1980_ACL_Get
55,Get,P80-1027.pdf,55_1980_ACL_Get
56,Get,P80-1028.pdf,56_1980_ACL_Get
57,Get,P80-1029.pdf,57_1980_ACL_Get
58,Get,P80-1030.pdf,58_1980_ACL_Get
59,Get,P80-1031.pdf,59_1980_ACL_Get
60,Get,P80-1032.pdf,60_1980_ACL_Get
61,Get,P80-1033.pdf,61_1980_ACL_Get
62,Get,P80-1034.pdf,62_1980_ACL_Get
63,Get,P80-1035.pdf,63_1980_ACL_Get
64,Get,P80-1036.pdf,64_1980_ACL_Get
65,Get,P80-1037.pdf,65_1980_ACL_Get
66,Get,P80-1038.pdf,66_1980_ACL_Get
67,Get,P80-1039.pdf,67_1980_ACL_Get
68,Get,P80-1040.pdf,68_1980_ACL_Get
69,Get,P80-1041.pdf,69_1980_ACL_Get
70,Get,P80-1042.pdf,70_1980_ACL_Get
71,Get,P80-1043.pdf,71_1980_ACL_Get
72,Get,P80-1044.pdf,72_1980_ACL_Get
73,Get,P81-1001.pdf,73_1981_ACL_Get
74,Get,P81-1002.pdf,74_1981_ACL_Get
75,Get,P81-1003.pdf,75_1981_ACL_Get
76,Get,P81-1004.pdf,76_1981_ACL_Get
77,Get,P81-1005.pdf,77_1981_ACL_Get
78,Get,P81-1006.pdf,78_1981_ACL_Get
79,Get,P81-1007.pdf,79_1981_ACL_Get
80,Get,P81-1008.pdf,80_1981_ACL_Get
81,Get,P81-1009.pdf,81_1981_ACL_Get
82,Get,P81-1010.pdf,82_1981_ACL_Get
83,Get,P81-1011.pdf,83_1981_ACL_Get
84,Get,P81-1012.pdf,84_1981_ACL_Get
85,Get,P81-1013.pdf,85_1981_ACL_Get
86,Get,P81-1014.pdf,86_1981_ACL_Get
87,Get,P81-1015.pdf,87_1981_ACL_Get
88,Get,P81-1016.pdf,88_1981_ACL_Get
89,Get,P81-1017.pdf,89_1981_ACL_Get
90,Get,P81-1018.pdf,90_1981_ACL_Get
91,Get,P81-1019.pdf,91_1981_ACL_Get
92,Get,P81-1020.pdf,92_1981_ACL_Get
93,Get,P81-1021.pdf,93_1981_ACL_Get
94,Get,P81-1022.pdf,94_1981_ACL_Get
95,Get,P81-1023.pdf,95_1981_ACL_Get
96,Get,P81-1024.pdf,96_1981_ACL_Get
97,Get,P81-1025.pdf,97_1981_ACL_Get
98,Get,P81-1026.pdf,98_1981_ACL_Get
99,Get,P81-1027.pdf,99_1981_ACL_Get
100,Get,P81-1028.pdf,100_1981_ACL_Get
101,Get,P81-1029.pdf,101_1981_ACL_Get
102,Get,P81-1030.pdf,102_1981_ACL_Get
103,Get,P81-1031.pdf,103_1981_ACL_Get
104,Get,P81-1032.pdf,104_1981_ACL_Get
105,Get,P81-1033.pdf,105_1981_ACL_Get
106,Get,P81-1034.pdf,106_1981_ACL_Get
107,Get,P81-1035.pdf,107_1981_ACL_Get
108,Get,P81-1036.pdf,108_1981_ACL_Get
109,Get,P82-1001.pdf,109_1982_ACL_Get
110,Get,P82-1002.pdf,110_1982_ACL_Get
111,Get,P82-1003.pdf,111_1982_ACL_Get
112,Get,P82-1004.pdf,112_1982_ACL_Get
113,Get,P82-1005.pdf,113_1982_ACL_Get
114,Get,P82-1006.pdf,114_1982_ACL_Get
115,Get,P82-1007.pdf,115_1982_ACL_Get
116,Get,P82-1008.pdf,116_1982_ACL_Get
117,Get,P82-1009.pdf,117_1982_ACL_Get
118,Get,P82-1010.pdf,118_1982_ACL_Get
119,Get,P82-1011.pdf,119_1982_ACL_Get
120,Get,P82-1012.pdf,120_1982_ACL_Get
121,Get,P82-1013.pdf,121_1982_ACL_Get
122,Get,P82-1014.pdf,122_1982_ACL_Get
123,Get,P82-1015.pdf,123_1982_ACL_Get
124,Get,P82-1016.pdf,124_1982_ACL_Get
125,Get,P82-1017.pdf,125_1982_ACL_Get
126,Get,P82-1018.pdf,126_1982_ACL_Get
127,Get,P82-1019.pdf,127_1982_ACL_Get
128,Get,P82-1020.pdf,128_1982_ACL_Get
129,Get,P82-1021.pdf,129_1982_ACL_Get
130,Get,P82-1022.pdf,130_1982_ACL_Get
131,Get,P82-1023.pdf,131_1982_ACL_Get
132,Get,P82-1024.pdf,132_1982_ACL_Get
133,Get,P82-1025.pdf,133_1982_ACL_Get
134,Get,P82-1026.pdf,134_1982_ACL_Get
135,Get,P82-1027.pdf,135_1982_ACL_Get
136,Get,P82-1028.pdf,136_1982_ACL_Get
137,Get,P82-1029.pdf,137_1982_ACL_Get
138,Get,P82-1030.pdf,138_1982_ACL_Get
139,Get,P82-1031.pdf,139_1982_ACL_Get
140,Get,P82-1032.pdf,140_1982_ACL_Get
141,Get,P82-1033.pdf,141_1982_ACL_Get
142,Get,P82-1034.pdf,142_1982_ACL_Get
143,Get,P82-1035.pdf,143_1982_ACL_Get
144,Get,P82-1036.pdf,144_1982_ACL_Get
145,Get,P82-1037.pdf,145_1982_ACL_Get
146,Get,P82-1038.pdf,146_1982_ACL_Get
147,Get,P82-1039.pdf,147_1982_ACL_Get
148,Get,P83-1001.pdf,148_1983_ACL_Get
149,Get,P83-1002.pdf,149_1983_ACL_Get
150,Get,P83-1003.pdf,150_1983_ACL_Get
151,Get,P83-1004.pdf,151_1983_ACL_Get
152,Get,P83-1005.pdf,152_1983_ACL_Get
153,Get,P83-1006.pdf,153_1983_ACL_Get
154,Get,P83-1007.pdf,154_1983_ACL_Get
155,Get,P83-1008.pdf,155_1983_ACL_Get
156,Get,P83-1009.pdf,156_1983_ACL_Get
157,Get,P83-1010.pdf,157_1983_ACL_Get
158,Get,P83-1011.pdf,158_1983_ACL_Get
159,Get,P83-1012.pdf,159_1983_ACL_Get
160,Get,P83-1013.pdf,160_1983_ACL_Get
161,Get,P83-1014.pdf,161_1983_ACL_Get
162,Get,P83-1015.pdf,162_1983_ACL_Get
163,Get,P83-1016.pdf,163_1983_ACL_Get
164,Get,P83-1017.pdf,164_1983_ACL_Get
165,Get,P83-1018.pdf,165_1983_ACL_Get
166,Get,P83-1019.pdf,166_1983_ACL_Get
167,Get,P83-1020.pdf,167_1983_ACL_Get
168,Get,P83-1021.pdf,168_1983_ACL_Get
169,Get,P83-1022.pdf,169_1983_ACL_Get
170,Get,P83-1023.pdf,170_1983_ACL_Get
171,Get,P83-1024.pdf,171_1983_ACL_Get
172,Get,P83-1025.pdf,172_1983_ACL_Get
173,Get,P84-1001.pdf,173_1984_ACL_Get
174,Get,P84-1002.pdf,174_1984_ACL_Get
175,Get,P84-1003.pdf,175_1984_ACL_Get
176,Get,P84-1004.pdf,176_1984_ACL_Get
177,Get,P84-1005.pdf,177_1984_ACL_Get
178,Get,P84-1006.pdf,178_1984_ACL_Get
179,Get,P84-1007.pdf,179_1984_ACL_Get
180,Get,P84-1008.pdf,180_1984_ACL_Get
181,Get,P84-1009.pdf,181_1984_ACL_Get
182,Get,P84-1010.pdf,182_1984_ACL_Get
183,Get,P84-1011.pdf,183_1984_ACL_Get
184,Get,P84-1012.pdf,184_1984_ACL_Get
185,Get,P84-1013.pdf,185_1984_ACL_Get
186,Get,P84-1014.pdf,186_1984_ACL_Get
187,Get,P84-1015.pdf,187_1984_ACL_Get
188,Get,P84-1016.pdf,188_1984_ACL_Get
189,Get,P84-1017.pdf,189_1984_ACL_Get
190,Get,P84-1018.pdf,190_1984_ACL_Get
191,Get,P84-1019.pdf,191_1984_ACL_Get
192,Get,P84-1020.pdf,192_1984_ACL_Get
193,Get,P84-1021.pdf,193_1984_ACL_Get
194,Get,P84-1022.pdf,194_1984_ACL_Get
195,Get,P84-1023.pdf,195_1984_ACL_Get
196,Get,P84-1024.pdf,196_1984_ACL_Get
197,Get,P84-1025.pdf,197_1984_ACL_Get
198,Get,P84-1026.pdf,198_1984_ACL_Get
199,Get,P84-1027.pdf,199_1984_ACL_Get
